imageName	name	nameLatin	parentFamily	description
benthicPredatoryWrasseHumphead.jpeg	Benthic Predatory			"Large predatory fishes play an important role in marine ecosystems, but overexploitation is gradually diminishing this role/Estimates from 2003 indicate that large predatory fish communities were depleted by at least 90% over the past 50-100 years/These families are particularly good indicators of composition, condition and diversity because:/They are all taxonomically well documented and relatively easy to identify underwater/They include ‘core’ reef species and collectively they comprise more than 50% of the observable fishes/Most of these families are targeted by local fishing pressure/Many are flagship species and so are important for tourism/The strongest responses to MPAs in the Philippines have been found in predatory fishes (groupers and breams) and butterflyfish"
benthicPredatoryEmperorBream.jpeg	Emperor Bream	Lethrinidae	Benthic Predatory	"They are benthopelagic, consuming invertebrates and small fishes/Some species have molariform teeth which they use to eat shelled invertebrates/Heavily targeted by fishermen"
benthicPredatoryEmperorBreamHumpnoseBigeye.jpeg	Humpnose Bigeye	Monotaxis grandoculis	Emperor Bream	Sandy reef slopes/Max Length 60cm/Solitary or groups
benthicPredatoryEmperorBreamLongface.jpeg	Longface	Lethrinus olivaceus	Emperor Bream	Outer slopes/Max Length 100cm/Solitary
benthicPredatoryEmperorBreamMonocle.jpeg/benthicPredatoryEmperorBreamMonocleAlternate.jpeg	Monocle	Scolopsis spp.	Emperor Bream	Sandy flats/Max Length 30cm/Solitary or small groups
benthicPredatoryEmperorBreamSpangled.jpeg	Spangled		Emperor Bream	
benthicPredatoryEmperorBreamStriped.jpeg	Striped		Emperor Bream	
benthicPredatoryEmperorBreamThumbprint.jpeg	Thumbprint		Emperor Bream	
benthicPredatoryGrouper.jpeg	Grouper	Serranidae	Benthic Predatory	"The giant grouper can reach 2.7m, although many species are small, in some cases <10cm/Naturally rare and very heavily fished in all of its range/All are carnivore, typically ambush predators, although Anthias typically feed on zooplankton "
benthicPredatoryGrouperBarramundi.jpeg/benthicPredatoryGrouperBarramundiCodJuvenile.png	Barramundi Cod	Cromileptes altivelis	Grouper	Silty areas/Max Length 70cm/Solitary and reclusive
benthicPredatoryGrouperBlacksaddleCoral.jpeg/ benthicPredatoryGrouperBlacksaddleCoralAlternate.jpeg	Blacksaddle Coral	Plectropomus laevis	Grouper	Outer reefs/Max Length 125cm/Solitary
benthicPredatoryGrouperBlueSpotted.jpeg	Bluespotted	Cephalopholis cyanostigma	Grouper	Sheltered slopes/Max Length 30cm/Solitary
benthicPredatoryGrouperCoral.jpeg	Coral	Cephalopholis miniata	Grouper	Reef Slopes/Max Length 50cm/Solitary
benthicPredatoryGrouperFlagtail.jpeg	Flagtail	Cephalopholis urodeta	Grouper	Variable habitat/Max Length 28cm/Solitary
benthicPredatoryGrouperGiant.jpeg	Giant		Grouper	
benthicPredatoryGrouperHighfin.jpeg	Highfin	Epinephelus maculatus	Grouper	Open sand bottoms/Max Length 60cm/Solitary
benthicPredatoryGrouperHoneycomb.jpeg	Honeycomb	Epinephelus merra	Grouper	Outer reefs/Max Length 32cm/Solitary
benthicPredatoryGrouperLarge.jpeg/ benthicPredatoryGrouperLargeAlernate.jpeg	Large		Grouper	Coral rich areas/Many larger than 100cm/Solitary
benthicPredatoryGrouperLyreTail.jpeg/ benthicPredatoryGrouperLyreTailAlternate.jpeg	Lyretails	Variola albimarginata & Variola louti	Grouper	Outer reefs/Max Length 60cm/Solitary
benthicPredatoryGrouperPeacock.jpeg	Peacock	Cephalopholis argus	Grouper	Outer slopes/Max Length 60cm/Solitary
benthicPredatoryMoorishIdol.png	Moorish Idol	Zanclus cornutus	Benthic Predatory	"Lagoon and outer reefs to 180 m/Up to 16 cm/Solitary, in pairs, or groups"
benthicPredatorySnapper.jpeg	Snapper	Lutjanidae	Benthic Predatory	"Grow to about 1m maximum and found down to 100m depth/Most are active carnivores feeding on crustaceans or other fish (few are plankton feeders)/Many species not yet evaluated for vulnerability status, but are very important commercially"
benthicPredatorySnapperBlackBanded.jpeg	Black-Banded	Lutjanus semicinctus	Snapper	Slopes/Max Length 35cm/Solitary or groups
benthicPredatorySnapperBlueStripe.jpeg	Blue Stripe		Snapper	
benthicPredatorySnapperCheckered.jpeg	Checkered	Lutjanus decussatus	Snapper	Outer slopes/Max Length 35cm/Solitary or groups
